iter	Logloss
0	0.6007710825
1	0.5012674083
2	0.4182272889
3	0.3493286738
4	0.2948755825
5	0.2479080773
6	0.2098393272
7	0.171640893
8	0.1427481015
9	0.119131256
10	0.09719072691
11	0.08025283871
12	0.06757631235
13	0.05710490386
14	0.04884964862
15	0.04201819512
16	0.03657706703
17	0.03216026089
18	0.02865119745
19	0.02547465587
20	0.02293433705
21	0.02087478447
22	0.01909514535
23	0.01757646515
24	0.01628489686
25	0.0151368458
26	0.01421198152
27	0.01336382574
28	0.01262682233
29	0.01206285824
30	0.01185708736
31	0.0112547354
32	0.01083021424
33	0.01042643751
34	0.01003141285
35	0.009684404983
36	0.009333297019
37	0.008982696197
38	0.008768810984
39	0.008533247454
40	0.0084708882
41	0.008294900162
42	0.008222607426
43	0.008159824623
44	0.008082738815
45	0.007911781754
46	0.007765600707
47	0.007730382701
48	0.007600002557
49	0.00748634456
50	0.007415127751
51	0.007301497679
52	0.007192862039
53	0.007078422787
54	0.007034033989
55	0.00694244335
56	0.006909000826
57	0.006844914369
58	0.006760403674
59	0.006733699642
60	0.006712047853
61	0.006626816115
62	0.006577624373
63	0.006489821934
64	0.006416279048
65	0.006401206096
66	0.006350185494
67	0.00631291153
68	0.006288309989
69	0.00625816952
70	0.006186776123
71	0.006164471338
72	0.006141014395
73	0.006123034617
74	0.006052513946
75	0.006038601067
76	0.006014619248
77	0.005970601195
78	0.005949164197
79	0.005869508977
80	0.005833036268
81	0.005797752308
82	0.005776166481
83	0.00573231191
84	0.00568842662
85	0.00563889532
86	0.005613991919
87	0.005596253255
88	0.00557367013
89	0.005513053419
90	0.005469166229
91	0.005423212256
92	0.005382280551
93	0.005347337374
94	0.005318333058
95	0.005288620606
96	0.005265884575
97	0.005212655072
98	0.005170554802
99	0.005141192698
100	0.005132787164
101	0.005114813043
102	0.005077461473
103	0.005044089042
104	0.005011312332
105	0.004989123887
106	0.004950697235
107	0.004934288624
108	0.004924995642
109	0.004914727719
110	0.004900152052
111	0.004858902633
112	0.004826298549
113	0.004816899733
114	0.004795230357
115	0.004779212296
116	0.004762067462
117	0.004743043132
118	0.004727306664
119	0.004697870854
120	0.004690623571
121	0.004675959583
122	0.004652373223
123	0.004641306501
124	0.004626853207
125	0.004598224669
126	0.004568987783
127	0.004560470154
128	0.004538395664
129	0.004497114926
130	0.004479361064
131	0.004430175034
132	0.004398211542
133	0.004380153803
134	0.004345114609
135	0.004333611121
136	0.004310135515
137	0.004302473223
138	0.004296860181
139	0.004277569842
140	0.004262830585
141	0.004243766522
142	0.004222077861
143	0.004199101388
144	0.004191116681
145	0.004174718674
146	0.004164258175
147	0.004151338537
148	0.004140407762
149	0.004121800766
150	0.004112254131
151	0.004099129772
152	0.004076766241
153	0.004059271152
154	0.004059269007
155	0.004045387227
156	0.00400657115
157	0.00398818802
158	0.003975064561
159	0.003954399007
160	0.003944811312
161	0.003929680413
162	0.003923453749
163	0.003903732198
164	0.003887999937
165	0.003864975092
166	0.003830623099
167	0.003819338595
168	0.003803927592
169	0.003803925109
170	0.003780324934
171	0.003762498294
172	0.003762495392
173	0.003733748662
174	0.003714975044
175	0.003706335778
176	0.00368865304
177	0.003682005174
178	0.003660567422
179	0.003648736416
180	0.003635059677
181	0.003620243419
182	0.003592424916
183	0.003592421812
184	0.003592421812
185	0.003580301875
186	0.003566330285
187	0.003566318009
188	0.003542477778
189	0.003542475276
190	0.003542249856
191	0.003521127714
192	0.003494671561
193	0.003472687572
194	0.003472685066
195	0.003450921547
196	0.003415753552
197	0.003398948229
198	0.003398942927
199	0.003386793169
200	0.003379928678
201	0.003368533904
202	0.003368533904
203	0.003363471262
204	0.003356139264
205	0.003356136694
206	0.003328817951
207	0.003318099046
208	0.00331298239
209	0.00331298239
210	0.00329720897
211	0.003292752155
212	0.003280804746
213	0.003273931271
214	0.00327392859
215	0.003266163345
216	0.003259050796
217	0.003259044102
